meta_source,meta_time,meta_event,meta_session,timestamp,vehicle_id,outing,lap,value,expire_at
kafka:gr-raw,2025-04-26T21:01:15.729Z,I_R02_2025-04-27,R1,2025-04-26T21:01:13.773Z,GR86-004-78,0,3,154623,
kafka:gr-raw,2025-04-26T20:58:41.048Z,I_R02_2025-04-27,R1,2025-04-26T20:58:39.173Z,GR86-004-78,0,2,223651,
kafka:gr-raw,2025-04-26T20:54:56.285Z,I_R02_2025-04-27,R1,2025-04-26T20:54:55.534Z,GR86-004-78,0,1,220312,
kafka:gr-raw,2025-04-26T20:51:16.847Z,I_R02_2025-04-27,R1,2025-04-26T20:51:15.163Z,GR86-004-78,0,32768,906415,
kafka:gr-raw,2025-04-26T21:44:45.151Z,I_R02_2025-04-27,R1,2025-04-26T21:44:43.670Z,GR86-006-7,0,19,44,
kafka:gr-raw,2025-04-26T21:44:45.150Z,I_R02_2025-04-27,R1,2025-04-26T21:44:43.668Z,GR86-006-7,0,20,0,
kafka:gr-raw,2025-04-26T21:44:45.149Z,I_R02_2025-04-27,R1,2025-04-26T21:44:43.663Z,GR86-006-7,0,19,237523,
kafka:gr-raw,2025-04-26T21:44:45.149Z,I_R02_2025-04-27,R1,2025-04-26T21:44:43.665Z,GR86-006-7,0,20,0,
kafka:gr-raw,2025-04-26T21:44:45.149Z,I_R02_2025-04-27,R1,2025-04-26T21:44:43.666Z,GR86-006-7,0,19,89,
kafka:gr-raw,2025-04-26T21:40:46.166Z,I_R02_2025-04-27,R1,2025-04-26T21:40:45.805Z,GR86-006-7,0,18,150567,
kafka:gr-raw,2025-04-26T21:38:16.924Z,I_R02_2025-04-27,R1,2025-04-26T21:38:15.215Z,GR86-006-7,0,17,149892,
kafka:gr-raw,2025-04-26T21:35:46.621Z,I_R02_2025-04-27,R1,2025-04-26T21:35:45.333Z,GR86-006-7,0,16,149932,
kafka:gr-raw,2025-04-26T21:33:16.462Z,I_R02_2025-04-27,R1,2025-04-26T21:33:15.374Z,GR86-006-7,0,15,149280,
kafka:gr-raw,2025-04-26T21:30:47.395Z,I_R02_2025-04-27,R1,2025-04-26T21:30:46.137Z,GR86-006-7,0,14,222493,
kafka:gr-raw,2025-04-26T21:27:03.914Z,I_R02_2025-04-27,R1,2025-04-26T21:27:03.615Z,GR86-006-7,0,13,212183,
kafka:gr-raw,2025-04-26T21:23:32.902Z,I_R02_2025-04-27,R1,2025-04-26T21:23:31.415Z,GR86-006-7,0,12,149119,
kafka:gr-raw,2025-04-26T21:21:02.653Z,I_R02_2025-04-27,R1,2025-04-26T21:21:02.285Z,GR86-006-7,0,11,148787,
kafka:gr-raw,2025-04-26T21:18:33.816Z,I_R02_2025-04-27,R1,2025-04-26T21:18:33.505Z,GR86-006-7,0,10,148889,
kafka:gr-raw,2025-04-26T21:16:05.194Z,I_R02_2025-04-27,R1,2025-04-26T21:16:04.615Z,GR86-006-7,0,9,148922,
kafka:gr-raw,2025-04-26T21:13:36.063Z,I_R02_2025-04-27,R1,2025-04-26T21:13:35.704Z,GR86-006-7,0,8,148695,
kafka:gr-raw,2025-04-26T21:11:10.049Z,I_R02_2025-04-27,R1,2025-04-26T21:11:07.015Z,GR86-006-7,0,7,148556,
kafka:gr-raw,2025-04-26T21:08:40.924Z,I_R02_2025-04-27,R1,2025-04-26T21:08:38.630Z,GR86-006-7,0,6,0,
kafka:gr-raw,2025-04-26T21:08:40.924Z,I_R02_2025-04-27,R1,2025-04-26T21:08:38.628Z,GR86-006-7,0,7,178,
