expire_at,lap,meta_event,meta_session,meta_source,meta_time,original_vehicle_id,outing,telemetry_name,telemetry_value,timestamp,vehicle_id,vehicle_number
,1,I_R02_2025-04-27,R2,kafka:gr-raw,2025-04-27T17:14:58.151Z,GR86-002-2,0,pbrake_f,0.0,2025-04-25T00:31:49.407Z,GR86-002-2,2
,1,I_R02_2025-04-27,R2,kafka:gr-raw,2025-04-27T17:14:58.151Z,GR86-002-2,0,gear,2.0,2025-04-25T00:31:49.407Z,GR86-002-2,2
,1,I_R02_2025-04-27,R2,kafka:gr-raw,2025-04-27T17:14:58.151Z,GR86-002-2,0,Steering_Angle,-0.5,2025-04-25T00:31:49.407Z,GR86-002-2,2
,1,I_R02_2025-04-27,R2,kafka:gr-raw,2025-04-27T17:14:58.151Z,GR86-002-2,0,accx_can,0.226,2025-04-25T00:31:49.363Z,GR86-002-2,2
,1,I_R02_2025-04-27,R2,kafka:gr-raw,2025-04-27T17:14:58.151Z,GR86-002-2,0,accy_can,-0.002,2025-04-25T00:31:49.363Z,GR86-002-2,2
,1,I_R02_2025-04-27,R2,kafka:gr-raw,2025-04-27T17:14:58.151Z,GR86-002-2,0,ath,100.02,2025-04-25T00:31:49.363Z,GR86-002-2,2
,1,I_R02_2025-04-27,R2,kafka:gr-raw,2025-04-27T17:14:58.151Z,GR86-002-2,0,pbrake_r,0.0,2025-04-25T00:31:49.363Z,GR86-002-2,2
,1,I_R02_2025-04-27,R2,kafka:gr-raw,2025-04-27T17:14:58.151Z,GR86-002-2,0,pbrake_f,0.0,2025-04-25T00:31:49.363Z,GR86-002-2,2
,1,I_R02_2025-04-27,R2,kafka:gr-raw,2025-04-27T17:14:58.151Z,GR86-002-2,0,gear,2.0,2025-04-25T00:31:49.363Z,GR86-002-2,2
,1,I_R02_2025-04-27,R2,kafka:gr-raw,2025-04-27T17:14:58.151Z,GR86-002-2,0,Steering_Angle,-0.5,2025-04-25T00:31:49.363Z,GR86-002-2,2
,1,I_R02_2025-04-27,R2,kafka:gr-raw,2025-04-27T17:14:58.151Z,GR86-002-2,0,accx_can,0.24,2025-04-25T00:31:49.319Z,GR86-002-2,2
,1,I_R02_2025-04-27,R2,kafka:gr-raw,2025-04-27T17:14:58.151Z,GR86-002-2,0,accy_can,0.008,2025-04-25T00:31:49.319Z,GR86-002-2,2
,1,I_R02_2025-04-27,R2,kafka:gr-raw,2025-04-27T17:14:58.151Z,GR86-002-2,0,ath,100.0,2025-04-25T00:31:49.319Z,GR86-002-2,2
,1,I_R02_2025-04-27,R2,kafka:gr-raw,2025-04-27T17:14:58.151Z,GR86-002-2,0,pbrake_r,0.0,2025-04-25T00:31:49.319Z,GR86-002-2,2
,1,I_R02_2025-04-27,R2,kafka:gr-raw,2025-04-27T17:14:58.151Z,GR86-002-2,0,pbrake_f,0.0,2025-04-25T00:31:49.319Z,GR86-002-2,2
,1,I_R02_2025-04-27,R2,kafka:gr-raw,2025-04-27T17:14:58.151Z,GR86-002-2,0,gear,2.0,2025-04-25T00:31:49.319Z,GR86-002-2,2
,1,I_R02_2025-04-27,R2,kafka:gr-raw,2025-04-27T17:14:58.151Z,GR86-002-2,0,Steering_Angle,-0.5,2025-04-25T00:31:49.319Z,GR86-002-2,2
,1,I_R02_2025-04-27,R2,kafka:gr-raw,2025-04-27T17:14:58.150Z,GR86-002-2,0,accx_can,0.242,2025-04-25T00:31:49.274Z,GR86-002-2,2
,1,I_R02_2025-04-27,R2,kafka:gr-raw,2025-04-27T17:14:58.150Z,GR86-002-2,0,accy_can,0.002,2025-04-25T00:31:49.274Z,GR86-002-2,2
,1,I_R02_2025-04-27,R2,kafka:gr-raw,2025-04-27T17:14:58.150Z,GR86-002-2,0,ath,100.03,2025-04-25T00:31:49.274Z,GR86-002-2,2
,1,I_R02_2025-04-27,R2,kafka:gr-raw,2025-04-27T17:14:58.150Z,GR86-002-2,0,pbrake_r,0.0,2025-04-25T00:31:49.274Z,GR86-002-2,2
,1,I_R02_2025-04-27,R2,kafka:gr-raw,2025-04-27T17:14:58.150Z,GR86-002-2,0,pbrake_f,0.0,2025-04-25T00:31:49.274Z,GR86-002-2,2
,1,I_R02_2025-04-27,R2,kafka:gr-raw,2025-04-27T17:14:58.150Z,GR86-002-2,0,gear,2.0,2025-04-25T00:31:49.274Z,GR86-002-2,2
,1,I_R02_2025-04-27,R2,kafka:gr-raw,2025-04-27T17:14:58.150Z,GR86-002-2,0,Steering_Angle,-0.3,2025-04-25T00:31:49.274Z,GR86-002-2,2
,1,I_R02_2025-04-27,R2,kafka:gr-raw,2025-04-27T17:14:58.150Z,GR86-002-2,0,accx_can,0.247,2025-04-25T00:31:49.231Z,GR86-002-2,2
,1,I_R02_2025-04-27,R2,kafka:gr-raw,2025-04-27T17:14:58.150Z,GR86-002-2,0,accy_can,0.012,2025-04-25T00:31:49.231Z,GR86-002-2,2
,1,I_R02_2025-04-27,R2,kafka:gr-raw,2025-04-27T17:14:58.150Z,GR86-002-2,0,ath,100.0,2025-04-25T00:31:49.231Z,GR86-002-2,2
,1,I_R02_2025-04-27,R2,kafka:gr-raw,2025-04-27T17:14:58.150Z,GR86-002-2,0,pbrake_r,0.0,2025-04-25T00:31:49.231Z,GR86-002-2,2
,1,I_R02_2025-04-27,R2,kafka:gr-raw,2025-04-27T17:14:58.150Z,GR86-002-2,0,pbrake_f,0.0,2025-04-25T00:31:49.231Z,GR86-002-2,2
,1,I_R02_2025-04-27,R2,kafka:gr-raw,2025-04-27T17:14:58.150Z,GR86-002-2,0,gear,2.0,2025-04-25T00:31:49.231Z,GR86-002-2,2
,1,I_R02_2025-04-27,R2,kafka:gr-raw,2025-04-27T17:14:58.150Z,GR86-002-2,0,Steering_Angle,0.2,2025-04-25T00:31:49.231Z,GR86-002-2,2
,1,I_R02_2025-04-27,R2,kafka:gr-raw,2025-04-27T17:14:58.150Z,GR86-002-2,0,nmot,6890.0,2025-04-25T00:31:49.274Z,GR86-002-2,2
,1,I_R02_2025-04-27,R2,kafka:gr-raw,2025-04-27T17:14:58.150Z,GR86-002-2,0,speed,119.42,2025-04-25T00:31:49.274Z,GR86-002-2,2
,1,I_R02_2025-04-27,R2,kafka:gr-raw,2025-04-27T17:14:58.150Z,GR86-002-2,0,accx_can,0.236,2025-04-25T00:31:49.187Z,GR86-002-2,2
,1,I_R02_2025-04-27,R2,kafka:gr-raw,2025-04-27T17:14:58.150Z,GR86-002-2,0,accy_can,-0.012,2025-04-25T00:31:49.187Z,GR86-002-2,2
,1,I_R02_2025-04-27,R2,kafka:gr-raw,2025-04-27T17:14:58.150Z,GR86-002-2,0,ath,100.02,2025-04-25T00:31:49.187Z,GR86-002-2,2
,1,I_R02_2025-04-27,R2,kafka:gr-raw,2025-04-27T17:14:58.150Z,GR86-002-2,0,pbrake_r,0.0,2025-04-25T00:31:49.187Z,GR86-002-2,2
,1,I_R02_2025-04-27,R2,kafka:gr-raw,2025-04-27T17:14:58.150Z,GR86-002-2,0,pbrake_f,0.0,2025-04-25T00:31:49.187Z,GR86-002-2,2
,1,I_R02_2025-04-27,R2,kafka:gr-raw,2025-04-27T17:14:58.150Z,GR86-002-2,0,gear,2.0,2025-04-25T00:31:49.187Z,GR86-002-2,2
,1,I_R02_2025-04-27,R2,kafka:gr-raw,2025-04-27T17:14:58.150Z,GR86-002-2,0,Steering_Angle,0.2,2025-04-25T00:31:49.187Z,GR86-002-2,2
,1,I_R02_2025-04-27,R2,kafka:gr-raw,2025-04-27T17:14:58.150Z,GR86-002-2,0,accx_can,0.243,2025-04-25T00:31:49.142Z,GR86-002-2,2
,1,I_R02_2025-04-27,R2,kafka:gr-raw,2025-04-27T17:14:58.150Z,GR86-002-2,0,accy_can,0.0,2025-04-25T00:31:49.142Z,GR86-002-2,2
,1,I_R02_2025-04-27,R2,kafka:gr-raw,2025-04-27T17:14:58.150Z,GR86-002-2,0,ath,100.02,2025-04-25T00:31:49.142Z,GR86-002-2,2
,1,I_R02_2025-04-27,R2,kafka:gr-raw,2025-04-27T17:14:58.150Z,GR86-002-2,0,pbrake_r,0.0,2025-04-25T00:31:49.142Z,GR86-002-2,2
,1,I_R02_2025-04-27,R2,kafka:gr-raw,2025-04-27T17:14:58.150Z,GR86-002-2,0,pbrake_f,0.0,2025-04-25T00:31:49.142Z,GR86-002-2,2
,1,I_R02_2025-04-27,R2,kafka:gr-raw,2025-04-27T17:14:58.150Z,GR86-002-2,0,gear,2.0,2025-04-25T00:31:49.142Z,GR86-002-2,2
